ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl,F,A,I,R,F1,F2,F3,A1,A3,I1,I2,I3,R1,R2,R3,R4,F1_1,F1_2,F2_1,F2_2,F3_1,F3_2,F3_3,A1_2,A1_3,A1_4,A1_5,A3_2,A3_3,A3_4,A3_5,I1_1,I1_3,I1_4,I2_1,I2_2,I3_1,I3_2,I3_3,R1_1,R2_1,R3_2,R4_1
GFlex,Geodynamic,https://github.com/awickert/gFlex,Through CSDMS repository,1,Python,10.1594/IEDA/100123,https://csdms.colorado.edu/wiki/Model:GFlex,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
GIPL,Cryosphere,https://github.com/Elchin/GIPL,Through web repository,1,Fortran90,10.1594/IEDA/100131,https://csdms.colorado.edu/wiki/Model:GIPL,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
GRLP,Terrestrial,https://github.com/awickert/GRLP,Through web repository,1,Python,10.5281/zenodo.1705386,https://csdms.colorado.edu/wiki/Model:GRLP,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
GSFLOW-GRASS,Hydrology,https://github.com/UMN-Hydro/GSFLOW-GRASS,Through CSDMS repository,1,Python,10.5281/zenodo.1487716,https://csdms.colorado.edu/wiki/Model:GSFLOW-GRASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFlood,Hydrology,https://github.com/KYANJO/GeoFlood,Through web repository,1,C,,https://csdms.colorado.edu/wiki/Model:GeoFlood,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
GeoTiff Data Component,Carbonates and Biogenics,https://github.com/csdms/bmi-geotiff,Through web repository,1,Python,10.5281/zenodo.4721474,https://csdms.colorado.edu/wiki/Model:GeoTiff_Data_Component,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Gospl,Climate,https://github.com/Geodels/gospl,Through web repository,0,Fortran90,,https://csdms.colorado.edu/wiki/Model:Gospl,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
GrainHill,Terrestrial,https://github.com/gregtucker/grain_hills,Through CSDMS repository,1,Python,10.5281/zenodo.1306961,https://csdms.colorado.edu/wiki/Model:GrainHill,0.72,0.0,0.0,0.2,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GridMET Data Component,Climate,"https://github.com/nhm-usgs/gridmet_bmi
https://github.com/pymt-lab/pymt_gridmet/",Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:GridMET_Data_Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroundwaterDupuitPercolator,Hydrology,https://github.com/landlab/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:GroundwaterDupuitPercolator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBV,Hydrology,https://github.com/johnrobertcraven/hbv_hydromodel,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:HBV,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
HackCalculator,Hydrology,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:HackCalculator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
